Date,FRM
2020-10-09,0.010021462
2020-10-12,0.010665885
2020-10-13,0.010052824
2020-10-14,0.009630617
2020-10-15,0.009313332
2020-10-16,0.008759592
2020-10-19,0.009113072
2020-10-20,0.009859627
2020-10-21,0.008983
2020-10-22,0.009052627
2020-10-23,0.008706817
2020-10-26,0.008650592
2020-10-27,0.008450752
2020-10-28,0.008790749
2020-10-29,0.009113646
2020-10-30,0.008484952
2020-11-02,0.008349968
2020-11-03,0.008839616
2020-11-04,0.008930745
2020-11-05,0.009105738
2020-11-06,0.008954828
2020-11-09,0.009443373
2020-11-10,0.009920714
2020-11-11,0.009483155
2020-11-12,0.009219069
2020-11-13,0.010363007
2020-11-16,0.01069608
2020-11-17,0.011889676
2020-11-18,0.010574907
2020-11-19,0.010178305
2020-11-20,0.011694388
2020-11-23,0.011203182
2020-11-24,0.012428125
2020-11-25,0.012481084
2020-11-26,0.012020483
2020-11-27,0.011692367
2020-11-30,0.012775092
2020-12-01,0.012673557
2020-12-02,0.012726091
2020-12-03,0.012398622
2020-12-04,0.013039638
2020-12-07,0.013500335
2020-12-08,0.013136494
2020-12-09,0.012536328
2020-12-10,0.012134185
2020-12-11,0.012050316
2020-12-14,0.011693479
2020-12-15,0.012802766
2020-12-16,0.01220008
2020-12-17,0.01244512
2020-12-18,0.011954633
2020-12-21,0.011867585
2020-12-22,0.011860986
2020-12-23,0.011155058
2020-12-24,0.010673196
2020-12-28,0.010555377
2020-12-29,0.010578213
2020-12-30,0.010092217
2020-12-31,0.010261432
